Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Thu Jul 2 11:36 PM,Fri Jul 3 12:06 AM,0.5 hr,81,2486
Fri Jul 3 12:06 AM,Fri Jul 3 1:06 AM,1.0 hr,137,2623
Fri Jul 3 1:06 AM,Fri Jul 3 2:06 AM,1.0 hr,107,2730
Fri Jul 3 2:06 AM,Fri Jul 3 3:06 AM,1.0 hr,91,2821
Fri Jul 3 3:06 AM,Fri Jul 3 4:06 AM,1.0 hr,133,2954
Fri Jul 3 4:06 AM,Fri Jul 3 5:06 AM,1.0 hr,239,3193
Fri Jul 3 5:06 AM,Fri Jul 3 6:06 AM,1.0 hr,228,3421
Fri Jul 3 6:06 AM,Fri Jul 3 7:06 AM,1.0 hr,343,3764
Fri Jul 3 7:06 AM,Fri Jul 3 8:06 AM,1.0 hr,398,4162
Fri Jul 3 8:06 AM,Fri Jul 3 9:06 AM,1.0 hr,459,4621
Fri Jul 3 9:06 AM,Fri Jul 3 10:06 AM,1.0 hr,593,5214
Fri Jul 3 10:06 AM,Fri Jul 3 11:06 AM,1.0 hr,694,5908
Fri Jul 3 11:06 AM,Fri Jul 3 12:06 PM,1.0 hr,682,6590
Fri Jul 3 12:06 PM,Fri Jul 3 3:06 PM,3.0 hr,926,7516
Fri Jul 3 3:06 PM,Fri Jul 3 6:06 PM,3.0 hr,704,8220
Fri Jul 3 6:06 PM,Fri Jul 3 9:06 PM,3.0 hr,625,8845
Fri Jul 3 9:06 PM,Sat Jul 4 12:06 AM,3.0 hr,402,9247
Sat Jul 4 12:06 AM,Sat Jul 4 3:06 AM,3.0 hr,314,9561
Sat Jul 4 3:06 AM,Sat Jul 4 6:06 AM,3.0 hr,258,9819
Sat Jul 4 6:06 AM,Sat Jul 4 9:06 AM,3.0 hr,315,10134
Sat Jul 4 9:06 AM,Sat Jul 4 12:06 PM,3.0 hr,415,10549
Sat Jul 4 12:06 PM,Sat Jul 4 6:06 PM,6.0 hr,822,11371
Sat Jul 4 6:06 PM,Sun Jul 5 12:06 AM,6.0 hr,593,11964
Sun Jul 5 12:06 AM,Sun Jul 5 6:06 AM,6.0 hr,305,12269
Sun Jul 5 6:06 AM,Sun Jul 5 12:06 PM,6.0 hr,364,12633
Sun Jul 5 12:06 PM,Sun Jul 5 6:06 PM,6.0 hr,357,12990
Sun Jul 5 6:06 PM,Mon Jul 6 12:06 AM,6.0 hr,271,13261
Mon Jul 6 12:06 AM,Mon Jul 6 6:06 AM,6.0 hr,145,13406
Mon Jul 6 6:06 AM,Mon Jul 6 12:06 PM,6.0 hr,371,13777
Mon Jul 6 12:06 PM,Tue Jul 7 12:06 AM,12.0 hr,1234,15011
Tue Jul 7 12:06 AM,Tue Jul 7 12:06 PM,12.0 hr,1570,16581
Tue Jul 7 12:06 PM,Wed Jul 8 12:06 AM,12.0 hr,2255,18836
Wed Jul 8 12:06 AM,Wed Jul 8 12:06 PM,12.0 hr,954,19790
Wed Jul 8 12:06 PM,Thu Jul 9 12:06 AM,12.0 hr,1365,21155
Thu Jul 9 12:06 AM,Thu Jul 9 12:06 PM,12.0 hr,1295,22450
Thu Jul 9 12:06 PM,Fri Jul 10 12:06 PM,24.0 hr,2784,25234
Fri Jul 10 12:06 PM,Sat Jul 11 12:06 PM,24.0 hr,2580,27814
Sat Jul 11 12:06 PM,Sun Jul 12 12:06 PM,24.0 hr,3510,31324
